label,Accelerate Diagnostics Inc ,Acer Therapeutics Inc ,Amphastar Pharmaceuticals Inc ,Apogee Enterprises Inc ,Arch Capital Group Ltd ,Arena Pharmaceuticals Inc ,BMC Stock Holdings Inc ,Bar Harbor Bankshares Inc ,CECO Environmental Corp ,CNX Resources Corporation,CRISPR Therapeutics AG,CSP Inc ,CTS Corporation,CVD Equipment Corporation,California Resources Corporation,Carver Bancorp Inc ,Caseys General Stores Inc ,Centene Corporation,Century Communities Inc ,Chicken Soup for the Soul Entertainment Inc ,China Advanced Construction Materials Group Inc ,Clearfield Inc ,Codexis Inc ,Cognizant Technology Solutions Corporation,Cohu Inc ,Commvault Systems Inc ,CompX International Inc ,Cracker Barrel Old Country Store Inc ,Cree Inc ,CyrusOne Inc,Diodes Incorporated,Dorchester Minerals L P ,EPAM Systems Inc ,EPR Properties,Energy Focus Inc ,Exelon Corporation,First Defiance Financial Corp ,Flotek Industries Inc ,Global Eagle Entertainment Inc ,GlobalSCAPE Inc ,H B Fuller Company,Haemonetics Corporation,HarborOne Bancorp Inc ,Hennessy Advisors Inc ,Heritage Financial Corporation,Immune Design Corp ,Intellia Therapeutics Inc ,Jaguar Health Inc ,Laredo Petroleum Inc ,Lawson Products Inc ,Lilis Energy Inc ,MIDSTATES PETROLEUM COMPANY INC ,Mammoth Energy Services Inc ,Matrix Service Company,MedEquities Realty Trust Inc ,MiMedx Group Inc,Micron Solutions Inc ,Navistar International Corporation,NorthStar Realty Europe Corp ,Novagold Resources Inc ,Old Dominion Freight Line Inc ,One Horizon Group Inc ,Orion Energy Systems Inc ,Pacific Coast Oil Trust,Paramount Group Inc ,Pareteum Corporation,Popular Inc ,Powell Industries Inc ,Presbia PLC,Protagonist Therapeutics Inc ,Qurate Retail Inc ,Rayonier Advanced Materials Inc ,ReShape Lifesciences Inc ,Regeneron Pharmaceuticals Inc ,Renasant Corporation,Repligen Corporation,Saia Inc ,Steven Madden Ltd ,StoneMor Partners L P ,Sun Hydraulics Corporation,Surgery Partners Inc ,TJX Companies Inc The ,Tecogen Inc ,Teladoc Health Inc ,The AES Corporation,The Hanover Insurance Group Inc ,TimkenSteel Corporation,TopBuild Corp ,Toro Company The ,Transatlantic Petroleum Ltd,Trinity Place Holdings Inc ,U S Auto Parts Network Inc ,Ultragenyx Pharmaceutical Inc ,Union Bankshares Corporation,Varex Imaging Corporation,Visa Inc ,WidePoint Corporation,eMagin Corporation
1,0.00145366444579043,0.0009308986752595775,0.005132831456479811,0.0,0.013488523876862828,0.0010208769332856924,0.007960759086522998,0.009286412512218964,0.006918171008539618,0.002444870565675935,0.0026287662131322764,0.008054412027921962,0.003672420124862284,0.0058930190389845875,0.006416131989000917,0.015634395670475046,0.010008203445447087,0.0038723556830405166,0.007216300349023677,0.025131502045587378,0.01207663670207936,0.0111348021795783,0.0047553497684895505,0.003881924787707238,0.0031206116398814166,0.019598947463932495,0.02495201535508637,0.005954016671246679,0.00786282682834407,0.0030780861864132198,0.006883116883116883,0.0046740269159481025,0.0023934897079942556,0.0043397396156230625,0.004594998931395597,0.0,0.0,0.014405626134301271,0.006586065766571012,0.005994754589733983,0.01850072080730418,0.0043826696719258705,0.010921985815602837,0.01715933669790916,0.010400180872710831,0.0021529064236719573,0.004020068180356339,0.0,0.01301603996844596,0.0,0.0068550536979206335,0.0033617051713039124,0.01115301724137931,0.006872037914691943,0.0,0.009896802571476907,0.009425070688030161,0.0,0.0032988081725312144,0.0018956400279357478,0.014093137254901961,0.02256637168141593,0.008367662203913492,0.0013296767223468795,0.001993494911341937,0.010491344640671446,0.0107290038368623,0.00825082508250825,0.0024180441590359535,0.003985251857073145,0.006125409703938531,0.005235053921055387,0.0006509357200976403,0.0,0.022052761747732894,0.0028357531760435572,0.004266211604095563,0.021148440637130235,0.005777349825938819,0.009658919408391186,0.00947694550756333,0.0033791938209027277,0.009423002452562283,0.010010232682297459,0.002782608695652174,0.017108066971080672,0.0,0.003107734806629834,0.009656237929702587,0.006436358859845002,0.002626293835933879,0.004481940416556815,0.002975009916699722,0.005913827090960293,0.013053183229813664,0.0,0.005937234944868533,0.0029447049841858437
2,0.5067837674136886,0.37601145721446494,0.44518758165867994,0.4792186201163758,0.526922658544543,0.5308560053085601,0.40792859440334533,0.434995112414467,0.4262241919792451,0.4818312559923301,0.38455094317820826,0.6003221764811169,0.5538009548292325,0.5840132970686007,0.4267644362969753,0.43856484265383844,0.44200164068908937,0.5735389028325569,0.42632770493349637,0.5119812974868498,0.4693543993462269,0.46458185264155427,0.4943686647478417,0.55964415689446,0.4137931034482761,0.4707376826059347,0.4440179142674345,0.5025190070532197,0.4850322091701404,0.5196565503834119,0.4635714285714275,0.43823031670561674,0.5817137386309232,0.5128642281463138,0.5045949989313956,0.4688062773347058,0.4990403071017276,0.42048548094373844,0.46789292938796717,0.5295723384895361,0.4774147044690053,0.47445529676934706,0.521985815602837,0.5431867339581834,0.5126610897580827,0.3617884143593856,0.37962307840741005,0.3623200466006478,0.45720483828556424,0.4599666388657215,0.4848807982329194,0.5031113654245044,0.500592672413793,0.5265402843601893,0.4217895427696358,0.5103197428523086,0.46786050895381776,0.4515605999189306,0.46087542565266776,0.5528284944627343,0.4868259803921569,0.43230088495575214,0.39984552008238927,0.4564946397407134,0.3726261672437314,0.4600454624934427,0.43804177916725906,0.3849009900990099,0.49565941253418894,0.43054275334815406,0.39659341249798485,0.522039577007643,0.473284513154326,0.41181244696941727,0.5009274525968669,0.42604355716878356,0.39310092637737687,0.5566858519609158,0.3899711132508703,0.5073951101720481,0.5744031346819752,0.4685010861694422,0.4760552471924614,0.6172976820750103,0.5539942028985515,0.5150684931506855,0.39895287958115144,0.4993093922651933,0.4232329084588646,0.522264547484565,0.4141819867140434,0.4677915458300378,0.3945524262858659,0.4637191401483147,0.4937402950310567,0.5214820178614531,0.5447177457355573,0.5133602355763984
3,0.0,0.0037593984962406013,0.0051017233870466,0.0,0.0073425432394213,0.0011229646266142617,0.002171116114506272,0.009042033235581623,0.0,0.00488974113135187,0.014068232371378225,0.0,0.0,0.0,0.0,0.0,0.0,0.005593402653280746,0.0019337798320913121,0.0,0.007173340597475711,0.00900260601753139,0.0028156676260793394,0.006227254346947028,0.0,0.00471826513020597,0.0,0.00247320692497939,0.0,0.010314288800086401,0.003311688311688312,0.008381013780320735,0.0,0.011236825790452572,0.004594998931395597,0.006431695394906097,0.0,0.002382032667876588,0.0061156324975302255,0.007118771075309105,0.0036040365209034117,0.002128725269221137,0.0,0.0,0.0,0.006208381314774946,0.008458223451469736,0.0026212865107764,0.004272942413883775,0.0,0.0,0.0009298333452542737,0.002640086206896552,0.0,0.011988623933493765,0.0021992894603282014,0.0020735155513666352,0.002837454398054317,0.005746311010215664,0.002893345305796668,0.0,0.016371681415929203,0.0,0.007230117177761157,0.0053509600251809885,0.0,0.002131590166264033,0.004744224422442244,0.013794743726959212,0.0058558802797809475,0.0,0.0,0.0011933821535123406,0.0019552145202346256,0.0,0.0052177858439201455,0.0049975621647976596,0.007495649846071476,0.013184208577142434,0.0020122748767481637,0.0282941498086386,0.00627564566739078,0.0,0.008853494683454198,0.008092753623188405,0.005235920852359209,0.005534779356768885,0.005352209944751381,0.0,0.0018389596742414292,0.002935269581337865,0.006766851217154406,0.004660848869496232,0.0015957946118464283,0.006696428571428572,0.012430605841177889,0.006596927716520592,0.005235031082997055
4,0.010296789824348878,0.019656283566058003,0.008368070677533753,0.05112219451371571,0.012237572065702166,0.01985605635240672,0.02130910260533934,0.019794721407624633,0.012322992108961194,0.03485139022051774,0.008666262241095417,0.005369608018614641,0.016342269555637164,0.042006648534300396,0.01851512373968836,0.0050110242533573865,0.06037735849056605,0.02395123700250986,0.040515045750400915,0.017533606078316773,0.013620266957232362,0.05685856432125089,0.009948692278813665,0.02135058633238981,0.051334061476049304,0.009164322656746212,0.026231605886116442,0.021617660529449485,0.026525198938992044,0.005778161788530079,0.019025974025974026,0.03070352163752115,0.029966491144088087,0.030068195908245506,0.05289591793118189,0.033766400823257006,0.03478886756238003,0.013838475499092558,0.011431528437691114,0.01841246052561152,0.08817876021143682,0.0236664162283997,0.008652482269503546,0.0023071377072819035,0.0,0.0180744004405948,0.011545635813983407,0.024798202546392614,0.014396529056008411,0.043369474562135114,0.02970523269098941,0.04677776983048423,0.019719827586206898,0.04004739336492891,0.012644935462699628,0.01776349179495855,0.019038642789820925,0.05566815295230374,0.01436577752553916,0.04190362167015864,0.01210171568627451,0.0,0.028578784757981462,0.019280312474029747,0.008970727101038717,0.014687882496940023,0.014779025152763962,0.019595709570957097,0.011138859158837753,0.014314374017242316,0.009080651227768525,0.03339964401633337,0.014103607268782209,0.007710185560925222,0.023907666941467433,0.017581669691470053,0.04644076060458313,0.01686521215366082,0.010443670839197096,0.022939933594929067,0.020366320393657735,0.029688631426502535,0.04608235445979088,0.011656359834497485,0.02777971014492753,0.023866057838660578,0.022288706058339568,0.04678867403314917,0.02578215527230591,0.01549980296860633,0.002626293835933879,0.03313120660866509,0.016428665873330688,0.023655308363841172,0.01814829192546584,0.010982379917933865,0.03119404391669022,0.015050714363616536
7,0.002725620835857056,0.001969208736126029,0.0025508616935232997,0.0,0.007233764821059502,0.005665866979735593,0.006754583467352847,0.00879765395894428,0.009944870824775699,0.00488974113135187,0.0011555016321460555,0.0,0.0044069041498347415,0.003324267150196434,0.004399633363886343,0.015634395670475046,0.008859721082854799,0.005808533524560774,0.002075275917366286,0.004091174751607247,0.00717334059747571,0.011845534233593935,0.0023151044925541235,0.009219571370804692,0.00936183491964425,0.006532982487977498,0.010876519513755598,0.01080883026472474,0.004831375521030693,0.002268063505778162,0.0043506493506493505,0.0031428801676202755,0.0022977501196744855,0.0027123372597644144,0.004274417610600555,0.0046951376382814505,0.0,0.009754990925589836,0.0039045961330385283,0.00358614783493015,0.00624699663623258,0.004883546205860256,0.01078014184397163,0.003172314347512617,0.0,0.0022029740149201423,0.0011256190904997748,0.003911125904967962,0.002300815145937418,0.0,0.00921623886053774,0.004506115442386095,0.003178879310344828,0.002843601895734597,0.0056880332531174796,0.0011842327863305702,0.0033930254476908575,0.0,0.008193813847900112,0.014167414945625062,0.0,0.011061946902654867,0.0018022657054582905,0.015125072716695753,0.008026440037771483,0.008742787200559538,0.004476339349154469,0.0,0.0026162444999405397,0.0030906034809955,0.0070388479931223465,0.00230342372526437,0.002332519663683211,0.0035046298004205558,0.005667765869744435,0.00850725952813067,0.0048756704046806435,0.002409316021951546,0.0,0.006338665861756717,0.0030071077091306723,0.005310161718561429,0.006195946818123145,0.0029363349201405884,0.002736231884057971,0.002374429223744292,0.0029917726252804786,0.0,0.0029934337582078023,0.014711677393931432,0.0037077089448478294,0.0,0.0028758429194763986,0.0,0.008880046583850932,0.0,0.00480633305060786,0.005780346820809249
9,0.007995154451847366,0.007805227354099534,0.017296086604865302,0.023275145469659184,0.029152616120961605,0.007554489306314124,0.039160501769057575,0.051319648093841645,0.018592584585450222,0.029674017257909878,0.0008666262241095416,0.019867549668874173,0.08850532500918105,0.025234209731036565,0.06544454628780935,0.03126879134095009,0.056439704675963896,0.030333452850484045,0.041835675879634,0.01914085330216248,0.021520021792427128,0.009476427386875147,0.02421474158428232,0.035826930853214714,0.02683726010298019,0.020415570274929677,0.0,0.07492900980122744,0.03230390299355817,0.038989091694567435,0.04558441558441559,0.0047546135869127246,0.06022020105313547,0.013716676999380036,0.020944646291942724,0.060329302804219206,0.04414587332053743,0.027903811252268602,0.010537705226513618,0.019001231065674678,0.013695338779432964,0.026421237165038816,0.03148936170212766,0.030136986301369864,0.024983043183359713,0.003955339708606619,0.005563774361613173,0.0006241158358991428,0.020970286615829607,0.1267723102585488,0.013176936552669662,0.02875330806093985,0.02580818965517241,0.02950236966824645,0.04550426602493984,0.022585010996447302,0.022431668237511783,0.010133765707336847,0.02060868331441544,0.03881073530878978,0.058363970588235295,0.012389380530973451,0.009912461380020597,0.004487658937920718,0.028485993075228207,0.03619513901031649,0.021742219695893135,0.014645214521452146,0.0065009711816704325,0.005828769722930109,0.022513567245177588,0.03601717097686106,0.004231082180634662,0.010440107721252813,0.029266281945589445,0.03255444646098004,0.03230131643100926,0.03239191540623745,0.010517739426709131,0.020525203742831274,0.01963732458538363,0.06649770697562153,0.01097198915709307,0.012590648218178582,0.008324637681159422,0.03318112633181126,0.013163799551234106,0.02883287292817679,0.03447276940903825,0.035465650860370415,0.02039239919666306,0.03075841462342913,0.0067103001454449284,0.04702900591382709,0.038965450310559015,0.013275404296403573,0.011780228065215342,0.020503871741738466
12,0.0058752271350696545,0.010275689223057643,0.007777017358302743,0.0,0.008103992167953877,0.004134551579807054,0.004503055644901898,0.005865102639296188,0.003459085504269809,0.0046979865771812086,0.010948377964583875,0.021120458206550924,0.0,0.014959202175883953,0.006966086159486709,0.02866305872920425,0.028876127973748975,0.0005736823234134098,0.021271578153004435,0.018994739918176504,0.011985834922364477,0.0,0.012514078338130397,0.003639304488475536,0.007333437353721329,0.017512022502495235,0.0,0.011633232573051204,0.001326259946949602,0.005130143644022033,0.0023376623376623377,0.016923200902570712,0.003446625179511728,0.0012399256044637321,0.0,0.006431695394906097,0.017994241842610365,0.014972776769509984,0.00663310909347509,0.017609591607343576,0.00937049495434887,0.0018782870022539444,0.0475177304964539,0.005335255948089402,0.021139498078227445,0.014820007009462776,0.010387856178040777,0.012315885828409754,0.006705232711017618,0.0,0.004417701271993297,0.0018596666905085473,0.0017241379310344827,0.0,0.02660249398381099,0.011250211470140417,0.008105560791705938,0.006350493176597758,0.020644154370034053,0.028434600419036216,0.0,0.01415929203539823,0.0,0.030499459818831547,0.02607281502465639,0.04021682112257388,0.012718487992042064,0.0,0.0059063701589566735,0.011738871116412733,0.020041910697974317,0.001151711862632185,0.022294548413344183,0.012395322241487438,0.001133553173948887,0.0029491833030852997,0.0,0.007361798955963057,0.03740463669357826,0.005131300935707817,0.004510661563696009,0.004948105237750422,0.009423002452562283,0.0,0.0072579710144927536,0.007427701674277016,0.0,0.0,0.010235612205484742,0.019965847891764088,0.0,0.0029879602777045434,0.005718630173211689,0.005444475734534873,0.009850543478260872,0.01243060584117789,0.005654509471303365,0.0
13,0.0,0.0,0.003359671498786785,0.0029093931837073984,0.0,0.0012250523199428308,0.004020585397233837,0.0,0.006593881742514323,0.002253116011505273,0.0,0.0023268301413996778,0.015424164524421594,0.0,0.021081576535288728,0.015233513730206455,0.0,0.013840086052348512,0.0021696066408829354,0.003798947983635301,0.00263325161173159,0.0,0.0,0.0,0.0018723669839288502,0.0,0.0,0.0,0.010136415308829102,0.012528350793822227,0.004675324675324675,0.01120154726408252,0.0,0.0020148791072535648,0.0,0.030614870079753023,0.0,0.002382032667876588,0.0,0.0006958197291655516,0.004565112926477655,0.006386175807663411,0.011063829787234043,0.0364816149963951,0.006104453990504183,0.0,0.0,0.0,0.009926373915330003,0.0,0.001142508949653439,0.0033617051713039124,0.005926724137931034,0.0036729857819905215,0.016801575147670094,0.0,0.03788878416588125,0.007161194433184705,0.015607264472190692,0.004489673750374139,0.012714460784313725,0.033628318584070796,0.0,0.0,0.014321687126219708,0.0,0.0150632371749325,0.0,0.0015459626590557736,0.0,0.001826876578367632,0.0,0.001573094656902631,0.0,0.006595218466611707,0.015086206896551725,0.018405655777669425,0.0,0.0029627435004814457,0.0,0.0,0.00724112961622013,0.0,0.0,0.005750724637681159,0.0106544901065449,0.014659685863874346,0.0,0.0,0.010114278208327861,0.008342345125907617,0.008700237279198525,0.001156948300938781,0.02205951375199474,0.0,0.0,0.0018848364904344547,0.0020721998036863343
15,0.06789824348879467,0.08804153240243463,0.044764511914390605,0.0,0.0,0.05119697820427748,0.0,0.0,0.0046481461463625555,0.0,0.10757720195279774,0.02112045820655092,0.0058758721997796545,0.024478694469628286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003316749585406302,0.043799274183456374,0.008087343307723413,0.008737712591667966,0.018600852917158153,0.03326935380678183,0.00787762205734176,0.010420613868889733,0.0,0.004675324675324675,0.0,0.0021062709430349448,0.0,0.0025646505663603335,0.0,0.0,0.020077132486388385,0.0028225996142447196,0.005673607022426805,0.01513695338779433,0.01728024042073629,0.0,0.0,0.0,0.0918740299404196,0.09014600887631052,0.06528251643505036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04094061918457114,0.0,0.0,0.0,0.0,0.0,0.0,0.018795056642636455,0.0,0.0,0.008218219968525967,0.0,0.0,0.05609069647599796,0.08100634387030307,0.0,0.0,0.07030105777054516,0.03829269192459514,0.0,0.056941923774954634,0.0,0.0,0.0,0.019720293792132006,0.0,0.0,0.0,0.0020465364594919253,0.0,0.0,0.0,0.0,0.0068559289300888365,0.0,0.0,0.00492134633974866,0.06478910485257174,0.0,0.005143633540372671,0.0,0.0,0.015705093248991164
16,0.00860084797092671,0.008163265306122448,0.015802899272071173,0.0,0.034319590993146964,0.007095094686335562,0.02492762946284979,0.018084066471163247,0.010269160090800995,0.019654841802492808,0.013201606147268683,0.0,0.0,0.0037775763070414022,0.0,0.006013229104028864,0.028055783429040197,0.0024381498745069917,0.019479294406188098,0.005260081823495032,0.011350222464360302,0.007818052594171997,0.0204605180828432,0.004771532551556814,0.0,0.006805190091643227,0.0,0.014106439498030594,0.0,0.015498433956150774,0.021493506493506495,0.0023370134579740512,0.0,0.01689398636081835,0.010151741825176318,0.003794700282994597,0.0,0.022005444646098004,0.037446488215646605,0.007761066209923459,0.0,0.0,0.00524822695035461,0.02350396539293439,0.0,0.007309868322235017,0.0052743294526275165,0.02238495464758259,0.02070733631343676,0.0,0.015157285398735624,0.0,0.020581896551724137,0.0054502369668246444,0.04458542988405163,0.004906107257655219,0.005843543826578699,0.0258073233346845,0.03671254256526675,0.010575675945325751,0.028799019607843136,0.030530973451327433,0.016477857878475798,0.0039890301670406384,0.02376455775889204,0.006294806784402867,0.038439675998294724,0.006600660066006601,0.01248662147698894,0.01718809304343111,0.06034065875020149,0.047324887446340703,0.01762950908597776,0.007341277160880953,0.009480626545754328,0.007146098003629763,0.022184300341296925,0.0,0.019183764165617363,0.007546030787805615,0.013759795881173683,0.0,0.012004646960113592,0.02220047159318414,0.010527536231884058,0.0,0.03111443530291698,0.014675414364640885,0.005793742757821553,0.0,0.010814151089139502,0.013357940065032076,0.005222795187095068,0.0035670703088331924,0.02824145962732919,0.0020516533912623702,0.014701724625388747,0.016359472134365796
